unit,unit_kind,members,D_margin,D_rule,N_margin,N_rule,reading,own_cap,own_cap_members,R_CO,R_INF,R_DEV,R_NONE,synthetic,quote_1,quote_2,quote_3,quote_4,quote_5,quote_6,quote_7,quote_8,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,quote_role_1,quote_role_2,quote_role_3,quote_role_4,quote_role_5,quote_role_6,quote_role_7,quote_role_8,protocol_version,coder,note
B:microsoft/phi-1_5,singleton,phi-1_5,,,,,,1,phi-1_5,0,0,0,1,1,Dataset size: 30B tokens,Training tokens: 150B tokens,augmented with a new data source that consists of various NLP synthetic texts,,,,,,phi15_card,phi15_card,phi15_card,,,,,,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,https://huggingface.co/microsoft/phi-1_5/raw/main/README.md,,,,,,2026-09-24T18:26:14,2026-09-24T18:26:14,2026-09-24T18:26:14,,,,,,own_cap,own_cap,synthetic,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Own cap by C2 (150B tokens over a 30B-token dataset, five passes). Stated purpose is research on safety (no listed rationale). Synthetic generator not named."
B:microsoft/phi-2,singleton,phi-2,,,,,,1,phi-2,0,0,0,1,1,trained on 1.4T tokens from multiple passes on a mixture of Synthetic and Web datasets for NLP and coding.,Our training data mixture contains synthetic datasets specifically created to teach the model common sense reasoning and general knowledge,,,,,,,phi2_blog,phi2_blog,,,,,,,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,,,,,,,2026-09-24T18:25:46,2026-09-24T18:25:46,,,,,,,own_cap,synthetic,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"'With its compact size, Phi-2 is an ideal playground for researchers' is a research rationale, not a listed flag. Synthetic generator not named."
B:HuggingFaceTB/SmolLM3-3B-Base,singleton,SmolLM3-3B-Base,,,,,,0,,0,1,0,0,1,Small language models are becoming increasingly important as users seek capable models that can be deployed efficiently.,SmolLM3 sits in the efficiency sweet spot.,"Introducing FineMath4+, InfiWebMath4+, and MegaMath (including Qwen Q&A, Pro synthetic rewrites, and text-code interleaved blocks)",with reasoning traces from R1.,,,,,smollm3_blog,smollm3_blog,smollm3_blog,smollm3_blog,,,,,https://huggingface.co/blog/smollm3,https://huggingface.co/blog/smollm3,https://huggingface.co/blog/smollm3,https://huggingface.co/blog/smollm3,,,,,2026-09-24T18:25:56,2026-09-24T18:25:56,2026-09-24T18:25:56,2026-09-24T18:25:56,,,,,R_INF,R_INF,synthetic,synthetic,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"No repetition stated for the 11.2T pretraining. R1 traces are in the reasoning mid-training stage; stage-2 MegaMath (Qwen Q&A, synthetic rewrites) is in pretraining."
B:stabilityai/stablelm-2-1_6b,singleton,stablelm-2-1_6b,,,,,,0,,0,1,1,0,0,This model represents a substantial leap towards making advanced generation capabilities available directly on-device without the computational overhead of larger models.,"Given its appealing small size, we also provide throughput measurements on a number of edge devices.",,,,,,,stablelm2_report,stablelm2_report,,,,,,,https://arxiv.org/pdf/2402.17834,https://arxiv.org/pdf/2402.17834,,,,,,,2026-09-24T18:26:06,2026-09-24T18:26:06,,,,,,,R_DEV+R_INF,R_DEV,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Table 1 repeats selected sources (up to 6 epochs) and subsamples others; this is upsampling, not own cap. Restruct-v1 instruction data is not described as model-generated."
B:stabilityai/stablelm-3b-4e1t,singleton,stablelm-3b-4e1t,,,,,,1,stablelm-3b-4e1t,0,0,0,1,0,we train on 1 trillion (1T) tokens for 4 epochs following the observations of,,,,,,,,stablelm_github,,,,,,,,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,,,,,,,,2026-09-24T18:18:06,,,,,,,,own_cap,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Purpose is research on repeated tokens; the 'Go smol or go home' inspiration for the token count does not state an inference-cost reason (R_NONE).
B:stabilityai/stablelm-base-alpha-7b-v2,singleton,stablelm-base-alpha-7b-v2,,,,,,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Not stated: 1.1T tokens (1T stage 1 plus 100B at 4096 context), no corpus size, repetition or rationale."
B:TinyLlama/TinyLlama_v1.1,singleton,TinyLlama_v1.1,,,,,,1,TinyLlama_v1.1,0,1,1,0,0,Combined Dataset Size | Around 950B tokens,Total Tokens During Training | 3 trillion (slightly more than 3 epochs/1430k steps),"Deployment on edge devices with restricted memory and computational capacities, for functionalities like real-time machine translation without an internet connection",This compactness allows it to cater to a multitude of applications demanding a restricted computation and memory footprint.,The fact that TinyLlama is a relatively small model with grouped query attention means it is also fast during inference.,,,,tinyllama_readme,tinyllama_readme,tinyllama_readme,tinyllama_readme,tinyllama_readme,,,,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,https://raw.githubusercontent.com/jzhang38/TinyLlama/main/README.md,,,,2026-09-24T18:26:07,2026-09-24T18:26:07,2026-09-24T18:26:07,2026-09-24T18:26:07,2026-09-24T18:26:07,,,,own_cap,own_cap,R_DEV,R_DEV,R_INF,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Own cap by Amendment 2: frame budget 2T against the README's ~950B combined dataset (the README describes the 3T v1.0 run, itself 'slightly more than 3 epochs')."
B:tiiuae/falcon-180B,size-specific member,falcon-180B,,,,,,1,falcon-180B,1,0,0,0,0,our 40B and 180B models are trained closer to the pretraining optimality suggested by Hoffmann et al. (2022).,"At the time, this decision was partially motivated by constraints over data availability: we elected early on to strictly stick to a single epoch of training, and the total stock of RefinedWeb tokens was unknown to us when we started training","Falcon-180B is the first publicly documented GPT-3- sized model to follow the updated scaling law recommendations of Hoffmann et al. (2022), with a total pretraining length of 3,500 billion tokens, without any upsampling.",,,,,,falcon_report,falcon_report,falcon_report,,,,,,https://arxiv.org/pdf/2311.16867,https://arxiv.org/pdf/2311.16867,https://arxiv.org/pdf/2311.16867,,,,,,2026-09-24T18:18:29,2026-09-24T18:18:29,2026-09-24T18:18:29,,,,,,own_cap+R_CO,own_cap,R_CO,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Own cap by Amendment 1 (C3/C1: the budget decision was partly motivated by data available at the start). R_INF not coded: 'nears the performance of PaLM-2-Large at a reduced pretraining and inference cost' is a comparison, and the report says the 180B makes deployment more challenging. The HF blog's 'less than an epoch' is lower-precedence and not a correction."
B:tiiuae/falcon-40b,size-specific member,falcon-40b,,,,,,1,falcon-40b,1,0,0,0,0,our 40B and 180B models are trained closer to the pretraining optimality suggested by Hoffmann et al. (2022).,"At the time, this decision was partially motivated by constraints over data availability: we elected early on to strictly stick to a single epoch of training, and the total stock of RefinedWeb tokens was unknown to us when we started training",,,,,,,falcon_report,falcon_report,,,,,,,https://arxiv.org/pdf/2311.16867,https://arxiv.org/pdf/2311.16867,,,,,,,2026-09-24T18:18:29,2026-09-24T18:18:29,,,,,,,own_cap+R_CO,own_cap,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Own cap by Amendment 1, as for the 180B."
B:tiiuae/falcon-7b,size-specific member,falcon-7b,,,,,,0,,0,1,1,0,0,"this is not the case for longer pretraining, offering an axis for decoupling training and inference compute.","While our 7B follows a similar idea, our 40B and 180B models are trained closer to the pretraining optimality","Falcon-7B can efficiently run on consumer hardware (e.g., Apple M2)",,,,,,falcon_report,falcon_report,falcon_report,,,,,,https://arxiv.org/pdf/2311.16867,https://arxiv.org/pdf/2311.16867,https://arxiv.org/pdf/2311.16867,,,,,,2026-09-24T18:18:29,2026-09-24T18:18:29,2026-09-24T18:18:29,,,,,,R_INF,R_INF,R_DEV,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,The data-availability statement concerns the 40B and 180B only; the 7B used a single epoch (no own cap).
B:google/gemma-2b,size-specific member,gemma-2b,,,,,,0,,0,0,1,0,0,a 2 billion param- eter model for CPU and on-device applications.,Gemma models are capable of running directly on a developer laptop or desktop computer.,,,,,,,gemma_report,gemma_blog,,,,,,,https://arxiv.org/pdf/2403.08295,https://blog.google/innovation-and-ai/technology/developers-tools/gemma-open-models/,,,,,,,2026-09-24T18:18:27,2026-09-24T18:25:31,,,,,,,R_DEV,R_DEV,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,No corpus size or repetition stated; synthetic data only in instruction tuning.
B:google/gemma-7b,size-specific member,gemma-7b,,,,,,0,,0,1,1,0,0,Gemma comes in two sizes: a 7 billion param- eter model for efficient deployment and develop- ment on GPU and TPU,Gemma models are capable of running directly on a developer laptop or desktop computer.,,,,,,,gemma_report,gemma_blog,,,,,,,https://arxiv.org/pdf/2403.08295,https://blog.google/innovation-and-ai/technology/developers-tools/gemma-open-models/,,,,,,,2026-09-24T18:18:27,2026-09-24T18:25:31,,,,,,,R_INF+R_DEV,R_DEV,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,'Each size is designed to address different computational constraints' supports both flags.
B:h2oai/h2o-danube3-4b-base,size-specific member,h2o-danube3-4b-base,,,,,,0,,0,1,1,0,1,"Thanks to its compact architecture, H2O-Danube3 can be efficiently run on a modern smartphone, enabling local inference and rapid processing capabilities even on mobile devices.",particularly aiming at efficient inference on consumer hardware and edge devices also allowing for full offline applications.,"academic texts, synthetic texts and other higher quality textual data is increasing.",,,,,,danube3_report,danube3_report,danube3_report,,,,,,https://arxiv.org/pdf/2407.09276,https://arxiv.org/pdf/2407.09276,https://arxiv.org/pdf/2407.09276,,,,,,2026-09-24T18:18:30,2026-09-24T18:18:30,2026-09-24T18:18:30,,,,,,R_DEV,R_INF,synthetic,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Synthetic texts in the later pretraining stages; generator not named. No corpus size or repetition stated.
B:h2oai/h2o-danube3-500m-base,size-specific member,h2o-danube3-500m-base,,,,,,0,,0,1,1,0,1,we release H2O-Danube3-500M with 500M trainable parameters for edge devices with limited compute or for custom fine-tuning tasks that require low memory footprint or high throughput at low cost.,"Thanks to its compact architecture, H2O-Danube3 can be efficiently run on a modern smartphone, enabling local inference and rapid processing capabilities even on mobile devices.","academic texts, synthetic texts and other higher quality textual data is increasing.",,,,,,danube3_report,danube3_report,danube3_report,,,,,,https://arxiv.org/pdf/2407.09276,https://arxiv.org/pdf/2407.09276,https://arxiv.org/pdf/2407.09276,,,,,,2026-09-24T18:18:30,2026-09-24T18:18:30,2026-09-24T18:18:30,,,,,,R_DEV+R_INF,R_DEV,synthetic,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,As for the 4B; the stage sizes for the 500M are given separately (2.8T and 1.15T).
B:allenai/OLMo-1B-hf,size-specific member,OLMo-1B-hf,,,,,,1,OLMo-1B-hf,0,0,0,1,0,"All of our released models have been trained to at least 2T tokens (a single epoch over our training data), and some have been trained beyond that by starting a second epoch over the data with a differ- ent shuffling order.","We built our training dataset out of a 2T-token sam- ple from our open dataset, Dolma",,,,,,,olmo_report,olmo_report,,,,,,,https://arxiv.org/pdf/2402.00838,https://arxiv.org/pdf/2402.00838,,,,,,,2026-09-24T18:18:32,2026-09-24T18:18:32,,,,,,,own_cap,own_cap,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Own cap by Amendment 2: frame budget 3T against a stated 2T-token single epoch (the report's table gives 2T for the 1B run).
B:allenai/OLMo-7B-hf,size-specific member,OLMo-7B-hf,,,,,,1,OLMo-7B-hf,0,0,0,1,0,"All of our released models have been trained to at least 2T tokens (a single epoch over our training data), and some have been trained beyond that by starting a second epoch over the data with a differ- ent shuffling order.","The checkpoint used for evaluating OLMo-7B is trained until 2.46T tokens on the Dolma (Soldaini et al., 2024) dataset",,,,,,,olmo_report,olmo_report,,,,,,,https://arxiv.org/pdf/2402.00838,https://arxiv.org/pdf/2402.00838,,,,,,,2026-09-24T18:18:32,2026-09-24T18:18:32,,,,,,,own_cap,own_cap,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"2.46T over a 2T epoch (23 percent beyond, a second epoch started)."
B:allenai/OLMo-2-0325-32B,size-specific member,OLMo-2-0325-32B,,,,,,1,OLMo-2-0325-32B,0,0,0,1,1,"OLMo 2 32B is trained for 1.5 epochs , up to 6T tokens.",We generated approximately 6.5B tokens of synthetic math data from rewritten versions of Tiny-GSM,Then we pass all of these annotated examples to Qwen2.5-7B-Instruct to be rewritten in the style of MIND,"For OLMo 2 13B and 32B , we repeat this process using two samples of 100B and 300B tokens.",,,,,olmo2_32b_blog,olmo2_report,olmo2_report,olmo2_32b_blog,,,,,https://allenai.org/blog/olmo2-32B,https://arxiv.org/pdf/2501.00656,https://arxiv.org/pdf/2501.00656,https://allenai.org/blog/olmo2-32B,,,,,2026-09-24T18:25:51,2026-09-24T18:18:24,2026-09-24T18:18:24,2026-09-24T18:25:51,,,,,own_cap,synthetic,synthetic,synthetic,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Own cap: 1.5 epochs over OLMo-Mix-1124 (3.9T).
B:allenai/OLMo-2-1124-13B,size-specific member,OLMo-2-1124-13B,,,,,,1,OLMo-2-1124-13B,0,0,0,1,1,"OLMo 2 13B is trained for 1.3 epochs , up to 5T tokens",OLMo 2 13B is trained for 1.2 epochs up to 5T tokens.,We generated approximately 6.5B tokens of synthetic math data from rewritten versions of Tiny-GSM,Then we pass all of these annotated examples to Qwen2.5-7B-Instruct to be rewritten in the style of MIND,"For OLMo 2 13B and 32B , we repeat this process using two samples of 100B and 300B tokens.",,,,olmo2_32b_blog,olmo2_blog,olmo2_report,olmo2_report,olmo2_32b_blog,,,,https://allenai.org/blog/olmo2-32B,https://allenai.org/blog/olmo2,https://arxiv.org/pdf/2501.00656,https://arxiv.org/pdf/2501.00656,https://allenai.org/blog/olmo2-32B,,,,2026-09-24T18:25:51,2026-09-24T18:25:49,2026-09-24T18:18:24,2026-09-24T18:18:24,2026-09-24T18:25:51,,,,own_cap,own_cap,synthetic,synthetic,synthetic,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Own cap: 1.2 to 1.3 epochs over OLMo-Mix-1124 (the two blogs differ on the decimal; both exceed one epoch).
B:Qwen/Qwen-7B,size-specific member,Qwen-7B,,,,,,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Not stated: 2.4T tokens (updated from 2.2T) on a dataset 'of up to 3 trillion tokens'; no repetition; the 'developer- or application-friendly scales' remark is not coded (see Qwen#2).
B:Qwen/Qwen2-0.5B,size-specific member,Qwen2-0.5B,,,,,,0,,0,0,1,0,1,"The smaller models, specifically Qwen2-0.5B and Qwen2-1.5B, are designed for easy deployment on portable devices such as smartphones, earphones, and smart glasses.","Moreover, these models are utilized to synthesize high-quality pre-training data.",,,,,,,qwen2_report,qwen2_report,,,,,,,https://arxiv.org/pdf/2407.10671,https://arxiv.org/pdf/2407.10671,,,,,,,2026-09-24T18:18:19,2026-09-24T18:18:19,,,,,,,R_DEV,synthetic,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"12T budget equals the 12T dataset (no repetition, own cap 0)."
B:HuggingFaceTB/SmolLM-1.7B,size-specific member,SmolLM-1.7B,,,,,,1,SmolLM-1.7B,0,1,1,0,1,Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens) Python-Edu : educational Python samples from The Stack (4B tokens) FineWeb-Edu (deduplicated) : educational web samples from FineWeb (220B tokens),"1.7B model, trained on 1T tokens from Smollm-Corpus",These approaches enable novel applications while dramatically reducing inference costs and improving user privacy.,"These memory requirements make our models suitable for deployment on a wide range of devices, from smartphones to laptops.",Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens),,,,smollm_blog,smollm_blog,smollm_blog,smollm_blog,smollm_blog,,,,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,https://huggingface.co/blog/smollm,,,,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,2026-09-24T18:25:55,,,,own_cap,own_cap,R_INF,R_DEV,synthetic,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Own cap by C2: 1T tokens over a stated 252B-token corpus (about 4 passes).
B:HuggingFaceTB/SmolLM2-1.7B,size-specific member,SmolLM2-1.7B,,,,,,1,SmolLM2-1.7B,0,1,1,0,1,"When building SmolLM2, we trained on 11 trillion tokens (approximately two epochs on our collected datasets)",the resulting performance gains and reduced inference costs make ex- tended training a worthwhile trade-off,These small LMs are computationally inexpensive and can be run on a wider range of devices (e.g. mobile phones) while providing satisfactory performance on many important tasks.,They are capable of solving a wide range of tasks while being lightweight enough to run on-device.,"Cosmopedia v2 (Allal et al., 2024) at 4%, which provides 30B tokens of high- quality synthetic textbooks, blog posts, and stories.",Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens),,,smollm2_report,smollm2_report,smollm2_report,smollm2_card,smollm2_report,smollm_blog,,,https://arxiv.org/pdf/2502.02737,https://arxiv.org/pdf/2502.02737,https://arxiv.org/pdf/2502.02737,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md,https://arxiv.org/pdf/2502.02737,https://huggingface.co/blog/smollm,,,2026-09-24T18:18:26,2026-09-24T18:18:26,2026-09-24T18:18:26,2026-09-24T18:25:54,2026-09-24T18:18:26,2026-09-24T18:25:55,,,own_cap,R_INF,R_INF+R_DEV,R_DEV,synthetic,synthetic,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Own cap: approximately two epochs over the collected datasets.
B:HuggingFaceTB/SmolLM2-135M,size-specific member,SmolLM2-135M,,,,,,0,,0,1,1,0,1,These small LMs are computationally inexpensive and can be run on a wider range of devices (e.g. mobile phones) while providing satisfactory performance on many important tasks.,They are capable of solving a wide range of tasks while being lightweight enough to run on-device.,"We incorporated Stack-Edu from the start, alongside InfiMM-WebMath, FineMath, and Cosmopedia.",Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens),,,,,smollm2_report,smollm2_card,smollm2_report,smollm_blog,,,,,https://arxiv.org/pdf/2502.02737,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md,https://arxiv.org/pdf/2502.02737,https://huggingface.co/blog/smollm,,,,,2026-09-24T18:18:26,2026-09-24T18:25:54,2026-09-24T18:18:26,2026-09-24T18:25:55,,,,,R_INF+R_DEV,R_DEV,synthetic,synthetic,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,No epoch count or unique-corpus size is stated for the 2T single-stage mix of the small models (own cap 0).
B:HuggingFaceTB/SmolLM2-360M,size-specific member,SmolLM2-360M,,,,,,0,,0,1,1,0,1,These small LMs are computationally inexpensive and can be run on a wider range of devices (e.g. mobile phones) while providing satisfactory performance on many important tasks.,They are capable of solving a wide range of tasks while being lightweight enough to run on-device.,"We incorporated Stack-Edu from the start, alongside InfiMM-WebMath, FineMath, and Cosmopedia.",Cosmopedia v2 : A collection of synthetic textbooks and stories generated by Mixtral (28B tokens),,,,,smollm2_report,smollm2_card,smollm2_report,smollm_blog,,,,,https://arxiv.org/pdf/2502.02737,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B/raw/main/README.md,https://arxiv.org/pdf/2502.02737,https://huggingface.co/blog/smollm,,,,,2026-09-24T18:18:26,2026-09-24T18:25:54,2026-09-24T18:18:26,2026-09-24T18:25:55,,,,,R_INF+R_DEV,R_DEV,synthetic,synthetic,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,No epoch count or unique-corpus size is stated for the 4T single-stage mix (own cap 0).
