uid,model,hf,family,dev,year,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,stabilityai/stablelm-2-1_6b,StableLM-2,Stability AI,2024,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False
B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,stabilityai/stablelm-base-alpha-7b,StableLM-alpha,Stability AI,2023,,,,server/unspecified,card: no on-device or local statement found,0,LLM releases not offered as a first-party commercial API (API business: image models),False,False,False,False,False,False,False,False,False,False,False
B:RWKV/rwkv-4-169m-pile,rwkv-4-169m-pile,RWKV/rwkv-4-169m-pile,RWKV,RWKV,2023,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,open research,False,True,False,False,False,False,False,True,False,False,False
B:RWKV/rwkv-4-430m-pile,rwkv-4-430m-pile,RWKV/rwkv-4-430m-pile,RWKV,RWKV,2023,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,open research,False,True,False,False,False,False,False,True,False,False,False
B:RWKV/rwkv-4-1b5-pile,rwkv-4-1b5-pile,RWKV/rwkv-4-1b5-pile,RWKV,RWKV,2023,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,open research,False,True,False,False,False,False,False,True,False,False,False
B:RWKV/rwkv-4-7b-pile,rwkv-4-7b-pile,RWKV/rwkv-4-7b-pile,RWKV,RWKV,2023,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,open research,False,True,False,False,False,False,False,True,False,False,False
B:RWKV/rwkv-4-14b-pile,rwkv-4-14b-pile,RWKV/rwkv-4-14b-pile,RWKV,RWKV,2023,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,open research,False,True,False,False,False,False,False,True,False,False,False
B:RWKV/rwkv-4-3b-pile,rwkv-4-3b-pile,RWKV/rwkv-4-3b-pile,RWKV,RWKV,2023,b1_research_suite,RWKV-4 Pile suite: all sizes trained on the Pile (330B tokens) (hf.co/RWKV/rwkv-4-*-pile cards),model card / paper,server/unspecified,card: no on-device or local statement found,0,open research,False,True,False,False,False,False,False,True,False,False,False
B:togethercomputer/RedPajama-INCITE-Base-7B-v0.1,RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,RedPajama-INCITE-Base,Together,2023,b2_replication,RedPajama-INCITE: open reproduction of the LLaMA recipe (hf.co/togethercomputer cards),model card,server/unspecified,card: no on-device or local statement found,1,Together AI inference cloud serves RedPajama-INCITE and other models,False,False,True,False,False,False,False,False,False,False,False
B:togethercomputer/RedPajama-INCITE-Base-3B-v1,RedPajama-INCITE-Base-3B-v1,togethercomputer/RedPajama-INCITE-Base-3B-v1,RedPajama-INCITE-Base,Together,2023,b2_replication,RedPajama-INCITE: open reproduction of the LLaMA recipe (hf.co/togethercomputer cards),model card,server/unspecified,card: no on-device or local statement found,1,Together AI inference cloud serves RedPajama-INCITE and other models,False,False,True,False,False,False,False,False,False,False,False
B:LLM360/Amber,Amber,LLM360/Amber,Amber,LLM360,2023,b2_replication,LLM360 Amber: LLaMA-7B replication at 1.26T tokens (hf.co/LLM360/Amber card),model card,server/unspecified,card: no on-device or local statement found,0,research release,False,False,True,False,False,False,False,False,False,False,False
B:Salesforce/codegen-6B-nl,codegen-6B-nl,Salesforce/codegen-6B-nl,Codegen-NL,Salesforce,2022,b1_research_suite,"CodeGen-NL: natural-language stage of the CodeGen code models, all sizes on the Pile (hf.co/Salesforce/codegen-*-nl cards)",model card / paper,server/unspecified,card: no on-device or local statement found,0,research release,False,True,False,False,False,False,False,False,False,False,False
B:Salesforce/codegen-16B-nl,codegen-16B-nl,Salesforce/codegen-16B-nl,Codegen-NL,Salesforce,2022,b1_research_suite,"CodeGen-NL: natural-language stage of the CodeGen code models, all sizes on the Pile (hf.co/Salesforce/codegen-*-nl cards)",model card / paper,server/unspecified,card: no on-device or local statement found,0,research release,False,True,False,False,False,False,False,False,False,False,False
B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,HuggingFaceTB/SmolLM-135M,SmolLM,Hugging Face,2024,,,,ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,HuggingFaceTB/SmolLM-360M,SmolLM,Hugging Face,2024,,,,ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,HuggingFaceTB/SmolLM-1.7B,SmolLM,Hugging Face,2024,,,,ondevice,SmolLM blog/card: small models for on-device use (HuggingFaceTB/SmolLM-*),0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:cerebras/Cerebras-GPT-111M,Cerebras-GPT-111M,cerebras/Cerebras-GPT-111M,Cerebras-GPT,Cerebras,2023,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,True,False,False,False,False,False,False,False,False,False
B:cerebras/Cerebras-GPT-256M,Cerebras-GPT-256M,cerebras/Cerebras-GPT-256M,Cerebras-GPT,Cerebras,2023,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,True,False,False,False,False,False,False,False,False,False
B:cerebras/Cerebras-GPT-590M,Cerebras-GPT-590M,cerebras/Cerebras-GPT-590M,Cerebras-GPT,Cerebras,2023,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,True,False,False,False,False,False,False,False,False,False
B:cerebras/Cerebras-GPT-1.3B,Cerebras-GPT-1.3B,cerebras/Cerebras-GPT-1.3B,Cerebras-GPT,Cerebras,2023,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,True,False,False,False,False,False,False,False,False,False
B:cerebras/Cerebras-GPT-2.7B,Cerebras-GPT-2.7B,cerebras/Cerebras-GPT-2.7B,Cerebras-GPT,Cerebras,2023,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,True,False,False,False,False,False,False,False,False,False
B:cerebras/Cerebras-GPT-6.7B,Cerebras-GPT-6.7B,cerebras/Cerebras-GPT-6.7B,Cerebras-GPT,Cerebras,2023,b1_research_suite,Cerebras-GPT: every size at 20 tokens/parameter by design (dey2023cerebras),model card / paper,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,True,False,False,False,False,False,False,False,False,False
B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,cerebras/btlm-3b-8k-base,BTLM,Cerebras,2023,,,,server/unspecified,card: no on-device or local statement found,0,"hardware vendor; Cerebras Inference launched Aug 2024, after its model releases",False,False,False,False,False,False,False,False,False,False,False
B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,h2oai/h2o-danube-1.8b-base,H2O-Danube1,H2O.ai,2024,,,,server/unspecified,card: no on-device or local statement found,0,enterprise software (h2oGPTe); Danube positioned for on-device use,False,False,False,False,False,False,False,False,False,False,False
B:h2oai/h2o-danube2-1.8b-base,h2o-danube2-1.8b-base,h2oai/h2o-danube2-1.8b-base,H2O-Danube2,H2O.ai,2024,a_dedupe,'The base model was initialized from H2O-Danube-1.8B' (+2T tokens),"arXiv:2401.16818, Sec. 7",server/unspecified,card: no on-device or local statement found,0,enterprise software (h2oGPTe); Danube positioned for on-device use,True,False,False,False,False,False,False,False,False,False,False
B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,h2oai/h2o-danube3-500m-base,H2O-Danube3,H2O.ai,2024,,,,ondevice,card: 'Can be run natively and fully offline on phones',0,enterprise software (h2oGPTe); Danube positioned for on-device use,False,False,False,False,False,False,False,False,False,False,False
B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,h2oai/h2o-danube3-4b-base,H2O-Danube3,H2O.ai,2024,,,,ondevice,card: 'Can be run natively and fully offline on phones',0,enterprise software (h2oGPTe); Danube positioned for on-device use,False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMo-1B-hf,OLMo-1B-hf,allenai/OLMo-1B-hf,OLMo-1,AI2,2024,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMo-7B-hf,OLMo-7B-hf,allenai/OLMo-7B-hf,OLMo-1,AI2,2024,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,allenai/OLMo-7B-0424-hf,OLMo-1.7,AI2,2024,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama/TinyLlama_v1.1,TinyLlama,TinyLlama,2024,,,,server/unspecified,card: no on-device or local statement found,0,academic project (SUTD),False,False,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-70m,pythia-70m,EleutherAI/pythia-70m,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-160m,pythia-160m,EleutherAI/pythia-160m,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-410m,pythia-410m,EleutherAI/pythia-410m,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-1b,pythia-1b,EleutherAI/pythia-1b,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-1.4b,pythia-1.4b,EleutherAI/pythia-1.4b,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-2.8b,pythia-2.8b,EleutherAI/pythia-2.8b,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-6.9b,pythia-6.9b,EleutherAI/pythia-6.9b,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:EleutherAI/pythia-12b,pythia-12b,EleutherAI/pythia-12b,Pythia,EleutherAI,2023,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper,server/unspecified,card: no on-device or local statement found,0,non-profit research,False,True,False,False,False,False,False,False,False,False,False
B:meta-llama/Llama-3.2-1B,Llama-3.2-1B,meta-llama/Llama-3.2-1B,Llama-3.2,Meta,2024,d_distilled_pruned,pruned from Llama 3.1 8B; logits of 3.1 8B/70B as targets ('Knowledge distillation was used after pruning'),hf.co/meta-llama/Llama-3.2-1B card,ondevice,"card: 'mobile AI powered writing assistants', 'on-device use-cases'",1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,True,False,False,False,False,True,False
B:meta-llama/Llama-3.2-3B,Llama-3.2-3B,meta-llama/Llama-3.2-3B,Llama-3.2,Meta,2024,d_distilled_pruned,pruned from Llama 3.1 8B; logits of 3.1 8B/70B as targets,hf.co/meta-llama/Llama-3.2-3B card,ondevice,"card: 'mobile AI powered writing assistants', 'on-device use-cases'",1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,True,False,False,False,False,True,False
B:meta-llama/Llama-4-Scout-17B-16E,Llama-4-Scout-17B-16E,meta-llama/Llama-4-Scout-17B-16E,Llama-4,Meta,2025,c_moe,MoE: 17.0B active / 108.6B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,True,False,True,False,False,False,False,False
B:meta-llama/Llama-4-Maverick-17B-128E,Llama-4-Maverick-17B-128E,meta-llama/Llama-4-Maverick-17B-128E,Llama-4,Meta,2025,c_moe,MoE: 17.0B active / 401.6B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,True,True,True,False,False,False,True,False
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Qwen/Qwen2.5-3B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Qwen/Qwen2.5-7B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Qwen/Qwen2.5-14B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Qwen/Qwen2.5-32B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Qwen/Qwen2.5-72B,Qwen2.5,Alibaba,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base,Qwen3,Alibaba,2025,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base,Qwen3,Alibaba,2025,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Qwen/Qwen3-4B-Base,Qwen3,Alibaba,2025,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Qwen/Qwen3-8B-Base,Qwen3,Alibaba,2025,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Qwen/Qwen3-14B-Base,Qwen3,Alibaba,2025,,,,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,False,False,False,False,False
B:Qwen/Qwen3-32B,Qwen3-32B,Qwen/Qwen3-32B,Qwen3,Alibaba,2025,f_instruct_only,Qwen3-32B base not released; the checkpoint is post-trained,hf.co/Qwen/Qwen3-32B card,server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,False,False,False,True,False,False,False,False
B:Qwen/Qwen3-30B-A3B-Base,Qwen3-30B-A3B-Base,Qwen/Qwen3-30B-A3B-Base,Qwen3-MoE,Alibaba,2025,c_moe,MoE: 3.3B active / 30.5B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,True,False,False,False,False,False,False,False
B:Qwen/Qwen3-235B-A22B,Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B,Qwen3-MoE,Alibaba,2025,c_moe,MoE: 22.0B active / 235.1B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",False,False,False,True,False,False,True,False,False,False,False
B:google/gemma-3-270m,gemma-3-270m,google/gemma-3-270m,Gemma-3,Google,2025,d_distilled_pruned,Gemma 3 family: 'The Gemma 3 models are trained with distillation' (270M released later; card silent),gemmateam2025gemma3 (arXiv:2503.19786),ondevice,Gemma 3 270M release: compact model for on-device/task-specific use,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,False,False,False,False,True,False
B:google/gemma-3-1b-pt,gemma-3-1b-pt,google/gemma-3-1b-pt,Gemma-3,Google,2025,d_distilled_pruned,'The Gemma 3 models are trained with distillation',gemmateam2025gemma3 (arXiv:2503.19786),local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,False,False,False,False,True,False
B:google/gemma-3-4b-pt,gemma-3-4b-pt,google/gemma-3-4b-pt,Gemma-3,Google,2025,d_distilled_pruned,'trained with distillation'; tokens include images,gemmateam2025gemma3 (arXiv:2503.19786),local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,True,False,False,False,True,False
B:google/gemma-3-12b-pt,gemma-3-12b-pt,google/gemma-3-12b-pt,Gemma-3,Google,2025,d_distilled_pruned,'trained with distillation'; tokens include images,gemmateam2025gemma3 (arXiv:2503.19786),local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,True,False,False,False,True,False
B:google/gemma-3-27b-pt,gemma-3-27b-pt,google/gemma-3-27b-pt,Gemma-3,Google,2025,d_distilled_pruned,'trained with distillation'; tokens include images,gemmateam2025gemma3 (arXiv:2503.19786),local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,False,False,False,False,True,True,False,False,False,True,False
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,OLMo-2,AI2,2025,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,allenai/OLMo-2-1124-7B,OLMo-2,AI2,2024,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,allenai/OLMo-2-1124-13B,OLMo-2,AI2,2024,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,allenai/OLMo-2-0325-32B,OLMo-2,AI2,2025,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/OLMoE-1B-7B-0924,OLMoE-1B-7B-0924,allenai/OLMoE-1B-7B-0924,OLMoE,AI2,2024,c_moe,MoE: 1.3B active / 6.9B total,m3 (card),server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,True,False,False,False,False,False,False,False
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,Olmo-3,AI2,2025,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,allenai/Olmo-3-1125-32B,Olmo-3,AI2,2025,,,,server/unspecified,card: no on-device or local statement found,0,non-profit research institute (demo playground only),False,False,False,False,False,False,False,False,False,False,False
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,SmolLM2,Hugging Face,2024,,,,ondevice,card: 'lightweight enough to run on-device',0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,SmolLM2,Hugging Face,2024,,,,ondevice,card: 'lightweight enough to run on-device',0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B,SmolLM2,Hugging Face,2024,,,,ondevice,card: 'lightweight enough to run on-device',0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,SmolLM3,Hugging Face,2025,,,,ondevice,SmolLM3 card: small model family designed for local/on-device deployment,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),False,False,False,False,False,False,False,False,False,False,True
B:microsoft/Phi-3-mini-4k-instruct,Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,Phi-3,Microsoft,2024,f_instruct_only,no base checkpoint released,hf.co/microsoft (m3 base_released),ondevice,card: optimized inference on 'mobile CPUs',1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,True,False,False,False,True
B:microsoft/Phi-3-small-8k-instruct,Phi-3-small-8k-instruct,microsoft/Phi-3-small-8k-instruct,Phi-3,Microsoft,2024,f_instruct_only,no base checkpoint released,hf.co/microsoft,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,True,False,False,False,True
B:microsoft/Phi-3-medium-4k-instruct,Phi-3-medium-4k-instruct,microsoft/Phi-3-medium-4k-instruct,Phi-3,Microsoft,2024,f_instruct_only,no base checkpoint released,hf.co/microsoft,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,True,False,False,False,True
B:microsoft/Phi-3.5-mini-instruct,Phi-3.5-mini-instruct,microsoft/Phi-3.5-mini-instruct,Phi-3.5,Microsoft,2024,f_instruct_only,no base checkpoint released,hf.co/microsoft,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,True,False,False,False,True
B:microsoft/Phi-3.5-MoE-instruct,Phi-3.5-MoE-instruct,microsoft/Phi-3.5-MoE-instruct,Phi-3.5,Microsoft,2024,c_moe,MoE: 6.6B active / 41.9B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,True,False,False,True,False,False,False,True
B:microsoft/phi-4,phi-4,microsoft/phi-4,Phi-4,Microsoft,2024,f_instruct_only,released checkpoint is post-trained (SFT + DPO); no base,hf.co/microsoft/phi-4,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,True,False,False,False,True
B:microsoft/Phi-4-mini-instruct,Phi-4-mini-instruct,microsoft/Phi-4-mini-instruct,Phi-4,Microsoft,2025,f_instruct_only,no base checkpoint released,hf.co/microsoft,server/unspecified,card: no on-device or local statement found,1,Azure AI (Foundry) model catalog serves Phi models,False,False,False,False,False,False,True,False,False,False,True
B:deepseek-ai/DeepSeek-V2-Lite,DeepSeek-V2-Lite,deepseek-ai/DeepSeek-V2-Lite,DeepSeek-V2,DeepSeek,2024,c_moe,MoE: 2.4B active / 15.7B total,m3 (card),server/unspecified,card: no on-device or local statement found,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,False,False,False,True,False,False,False,False,False,False,False
