model,hf,dev,year,serve,serve_source,deploy,deploy_source,drop_step,drop_reason,drop_source
TinyLlama_v1.1,TinyLlama/TinyLlama_v1.1,TinyLlama,2024,0,academic project (SUTD),server/unspecified,card: no on-device or local statement found,,,
pythia-70m,EleutherAI/pythia-70m,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-160m,EleutherAI/pythia-160m,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-410m,EleutherAI/pythia-410m,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-1b,EleutherAI/pythia-1b,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-1.4b,EleutherAI/pythia-1.4b,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-2.8b,EleutherAI/pythia-2.8b,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-6.9b,EleutherAI/pythia-6.9b,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
pythia-12b,EleutherAI/pythia-12b,EleutherAI,2023,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,Pythia suite: all sizes trained on the same 300B tokens in the same order for research (biderman2023pythia),model card / paper
Llama-3.2-1B,meta-llama/Llama-3.2-1B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",ondevice,"card: 'mobile AI powered writing assistants', 'on-device use-cases'",d_distilled_pruned,pruned from Llama 3.1 8B; logits of 3.1 8B/70B as targets ('Knowledge distillation was used after pruning'),hf.co/meta-llama/Llama-3.2-1B card
Llama-3.2-3B,meta-llama/Llama-3.2-3B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",ondevice,"card: 'mobile AI powered writing assistants', 'on-device use-cases'",d_distilled_pruned,pruned from Llama 3.1 8B; logits of 3.1 8B/70B as targets,hf.co/meta-llama/Llama-3.2-3B card
Llama-4-Scout-17B-16E,meta-llama/Llama-4-Scout-17B-16E,Meta,2025,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,c_moe,MoE: 17.0B active / 108.6B total,m3 (card)
Llama-4-Maverick-17B-128E,meta-llama/Llama-4-Maverick-17B-128E,Meta,2025,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,c_moe,MoE: 17.0B active / 401.6B total,m3 (card)
Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2.5-3B,Qwen/Qwen2.5-3B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2.5-7B,Qwen/Qwen2.5-7B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2.5-14B,Qwen/Qwen2.5-14B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2.5-32B,Qwen/Qwen2.5-32B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2.5-72B,Qwen/Qwen2.5-72B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen3-4B-Base,Qwen/Qwen3-4B-Base,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen3-8B-Base,Qwen/Qwen3-8B-Base,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen3-14B-Base,Qwen/Qwen3-14B-Base,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen3-32B,Qwen/Qwen3-32B,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,f_instruct_only,Qwen3-32B base not released; the checkpoint is post-trained,hf.co/Qwen/Qwen3-32B card
Qwen3-30B-A3B-Base,Qwen/Qwen3-30B-A3B-Base,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,c_moe,MoE: 3.3B active / 30.5B total,m3 (card)
Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B,Alibaba,2025,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,c_moe,MoE: 22.0B active / 235.1B total,m3 (card)
gemma-3-270m,google/gemma-3-270m,Google,2025,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,ondevice,Gemma 3 270M release: compact model for on-device/task-specific use,d_distilled_pruned,Gemma 3 family: 'The Gemma 3 models are trained with distillation' (270M released later; card silent),gemmateam2025gemma3 (arXiv:2503.19786)
gemma-3-1b-pt,google/gemma-3-1b-pt,Google,2025,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",d_distilled_pruned,'The Gemma 3 models are trained with distillation',gemmateam2025gemma3 (arXiv:2503.19786)
gemma-3-4b-pt,google/gemma-3-4b-pt,Google,2025,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",d_distilled_pruned,'trained with distillation'; tokens include images,gemmateam2025gemma3 (arXiv:2503.19786)
gemma-3-12b-pt,google/gemma-3-12b-pt,Google,2025,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",d_distilled_pruned,'trained with distillation'; tokens include images,gemmateam2025gemma3 (arXiv:2503.19786)
gemma-3-27b-pt,google/gemma-3-27b-pt,Google,2025,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",d_distilled_pruned,'trained with distillation'; tokens include images,gemmateam2025gemma3 (arXiv:2503.19786)
OLMo-2-0425-1B,allenai/OLMo-2-0425-1B,AI2,2025,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
OLMo-2-1124-7B,allenai/OLMo-2-1124-7B,AI2,2024,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
OLMo-2-1124-13B,allenai/OLMo-2-1124-13B,AI2,2024,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
OLMo-2-0325-32B,allenai/OLMo-2-0325-32B,AI2,2025,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
OLMoE-1B-7B-0924,allenai/OLMoE-1B-7B-0924,AI2,2024,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,c_moe,MoE: 1.3B active / 6.9B total,m3 (card)
Olmo-3-1025-7B,allenai/Olmo-3-1025-7B,AI2,2025,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
Olmo-3-1125-32B,allenai/Olmo-3-1125-32B,AI2,2025,0,non-profit research institute (demo playground only),server/unspecified,card: no on-device or local statement found,,,
SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,Hugging Face,2024,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,card: 'lightweight enough to run on-device',,,
SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,Hugging Face,2024,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,card: 'lightweight enough to run on-device',,,
SmolLM2-1.7B,HuggingFaceTB/SmolLM2-1.7B,Hugging Face,2024,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,card: 'lightweight enough to run on-device',,,
SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base,Hugging Face,2025,0,hub/platform; SmolLM not served as a first-party product (third-party hosting only),ondevice,SmolLM3 card: small model family designed for local/on-device deployment,,,
Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,Microsoft,2024,1,Azure AI (Foundry) model catalog serves Phi models,ondevice,card: optimized inference on 'mobile CPUs',f_instruct_only,no base checkpoint released,hf.co/microsoft (m3 base_released)
Phi-3-small-8k-instruct,microsoft/Phi-3-small-8k-instruct,Microsoft,2024,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,f_instruct_only,no base checkpoint released,hf.co/microsoft
Phi-3-medium-4k-instruct,microsoft/Phi-3-medium-4k-instruct,Microsoft,2024,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,f_instruct_only,no base checkpoint released,hf.co/microsoft
Phi-3.5-mini-instruct,microsoft/Phi-3.5-mini-instruct,Microsoft,2024,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,f_instruct_only,no base checkpoint released,hf.co/microsoft
Phi-3.5-MoE-instruct,microsoft/Phi-3.5-MoE-instruct,Microsoft,2024,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 6.6B active / 41.9B total,m3 (card)
phi-4,microsoft/phi-4,Microsoft,2024,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,f_instruct_only,released checkpoint is post-trained (SFT + DPO); no base,hf.co/microsoft/phi-4
Phi-4-mini-instruct,microsoft/Phi-4-mini-instruct,Microsoft,2025,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,f_instruct_only,no base checkpoint released,hf.co/microsoft
DeepSeek-V2-Lite,deepseek-ai/DeepSeek-V2-Lite,DeepSeek,2024,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 2.4B active / 15.7B total,m3 (card)
DeepSeek-V3-Base,deepseek-ai/DeepSeek-V3-Base,DeepSeek,2024,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 37.0B active / 684.5B total,m3 (card)
Kimi-K2-Base,moonshotai/Kimi-K2-Base,Moonshot,2025,1,Kimi API platform,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 32.0B active / 1026.5B total,m3 (card)
GLM-4.5-Base,zai-org/GLM-4.5-Base,Zhipu,2025,1,BigModel / Z.ai API,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 32.0B active / 358.3B total,m3 (card)
Falcon3-7B-Base,tiiuae/Falcon3-7B-Base,TII,2024,0,no first-party commercial LLM API (Falcon served by third parties),server/unspecified,card: no on-device or local statement found,,,
falcon-11B,tiiuae/falcon-11B,TII,2024,0,no first-party commercial LLM API (Falcon served by third parties),server/unspecified,card: no on-device or local statement found,,,
granite-3.0-2b-base,ibm-granite/granite-3.0-2b-base,IBM,2024,1,watsonx.ai (GA Jul 2023) serves Granite,server/unspecified,card: no on-device or local statement found,,,
granite-3.0-8b-base,ibm-granite/granite-3.0-8b-base,IBM,2024,1,watsonx.ai (GA Jul 2023) serves Granite,server/unspecified,card: no on-device or local statement found,,,
Apertus-8B-2509,swiss-ai/Apertus-8B-2509,Swiss AI,2025,0,public research consortium (ETH/EPFL/CSCS); hosting by third parties,server/unspecified,card: no on-device or local statement found,,,
Apertus-70B-2509,swiss-ai/Apertus-70B-2509,Swiss AI,2025,0,public research consortium (ETH/EPFL/CSCS); hosting by third parties,server/unspecified,card: no on-device or local statement found,,,
marin-8b-base,marin-community/marin-8b-base,Marin,2025,0,open research lab (Stanford CRFM),server/unspecified,card: no on-device or local statement found,,,
DCLM-7B,apple/DCLM-7B,Apple,2024,0,on-device products; DCLM is a research artifact,server/unspecified,card: no on-device or local statement found,b2_replication,DCLM-7B: dataset-benchmark model trained for 2.5T tokens to evaluate DCLM-Baseline (hf.co/apple/DCLM-7B),model card
neo_7b,m-a-p/neo_7b,M-A-P,2024,0,open research community,server/unspecified,card: no on-device or local statement found,,,
K2,LLM360/K2,LLM360,2024,0,research release,server/unspecified,card: no on-device or local statement found,b2_replication,LLM360 K2: LLaMA-65B-scale replication at 1.4T tokens (hf.co/LLM360/K2 card),model card
stablelm-3b-4e1t,stabilityai/stablelm-3b-4e1t,Stability AI,2023,0,LLM releases not offered as a first-party commercial API (API business: image models),server/unspecified,card: no on-device or local statement found,,,
